Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"SAV-A-STEP FOOD MART #41",-86.110016,38.407867,"14195 Greene St NE","","Palmyra","IN","47164","8110","HARRISON" 
"Darlage Custom Meats",-85.925446,38.941082,"5974 Schleter Rd","","Seymour","IN","47274","5503","JACKSON" 
"DOLLAR GENERAL 10030",-87.025917,41.318893,"175 N Main St","Ste 20","Kouts","IN","46347","9205","PORTER" 
"DOLLAR GENERAL 3630",-87.784439,38.169827,"39 W Main St","","Poseyville","IN","47633","","POSEY" 
"7-ELEVEN",-86.059303,41.685101,"30955 US Highway 20","","Osceola","IN","46561","9608","ST JOSEPH" 
"LASSUS HANDY DANDY 28",-85.016678,41.070435,"633 Broadway St","","New Haven","IN","46774","1472","ALLEN" 
"BP Quickpik",-87.370438,39.472324,"3230 Wabash Ave","","Terre Haute","IN","47803","1520","VIGO" 
"Michigan & Dunmoyer Market",-86.249542,41.64415,"2904 S Michigan St","","South Bend","IN","46614","1034","ST JOSEPH" 
"Circle K 2255",-87.398819,39.491684,"1280 Lafayette Ave","","Terre Haute","IN","47804","3016","VIGO" 
"Circle K 2269",-86.901466,40.033604,"801 S Washington St","","Crawfordsville","IN","47933","3546","MONTGOMERY" 
"HUCK'S 304",-86.478043,38.556217,"812 W Main St","","Paoli","IN","47454","1041","ORANGE" 
"HUCK'S 280",-86.452805,38.659882,"363 S Maple St","","Orleans","IN","47452","1725","ORANGE" 
"HUCK'S 362",-87.902245,37.930519,"631 W 4th St","","Mount Vernon","IN","47620","1617","POSEY" 
"Walgreens 07906",-85.823982,41.237953,"2400 E Center St","","Warsaw","IN","46580","3817","KOSCIUSKO" 
"Walgreens 07907",-85.491585,41.167538,"535 N Line St","","Columbia City","IN","46725","1229","WHITLEY" 
"Target Store 1063",-86.127617,40.008717,"15160 N Meridian St","","Carmel","IN","46032","1399","HAMILTON" 
"Target Store 773",-86.356049,39.718185,"2673 E Main St","","Plainfield","IN","46168","2710","HENDRICKS" 
"Target Store 870",-87.3032,41.470917,"2661 E 81st Ave","","Merrillville","IN","46410","5898","LAKE" 
"Target Store 1214",-85.987495,39.77512,"10202 E Washington St","","Indianapolis","IN","46229","2670","MARION" 
"Target Store 1481",-87.471863,37.976513,"6625 E Lloyd Expy","","Evansville","IN","47715","2757","VANDERBURGH" 
"DOLLAR GENERAL 10032",-85.873405,40.581085,"404 N Jefferson St","","Converse","IN","46919","2127","MIAMI" 
